"ConfRegionR","ConfRegionM"
8.04059321032823,1.00001542955346
8.05756293437332,1.0723460870421
8.52867977738054,1.14423273824826
8.53185276227705,1.14467674453074
9.01293886501192,1.21700740201938
9.02659956386647,1.21890526936377
9.5245193503524,1.28559965675108
9.55586539690423,1.28933805950802
10.0224391368383,1.34436696572094
10.214883159214,1.36166871699666
10.5203589233243,1.40407204193746
10.8570567102391,1.4339993744853
11.0182787098102,1.45359723890972
11.5161984962961,1.50494211598886
11.5670437359036,1.50633003197394
12.014118282782,1.52882437201429
12.3769891808135,1.57866068946258
12.512038069268,1.59402413874465
13.0099578557539,1.5801218747816
13.0327263931788,1.57866068946258
13.5078776422398,1.5608131442444
13.7161430746903,1.50633003197394
13.5078776422398,1.4499137933134
13.4750269701814,1.4339993744853
13.5078776422398,1.41781849814842
13.6081954526911,1.36166871699666
13.5078776422398,1.33068353301033
13.3644824136283,1.28933805950802
13.0960563379708,1.21700740201938
13.0099578557539,1.19823166782954
12.7417243847308,1.14467674453074
12.512038069268,1.09071223524758
12.4710109534952,1.0723460870421
12.014118282782,1.02221520772931
11.6223202413924,1.00001542955346
8.04059321032823,1.00001542955346
