"","ConfRegionR","ConfRegionM"
"1",9.81647981366253,1.36219840698168
"2",9.7880271163084,1.36339567806146
"3",9.78429340565823,1.36355565869069
"4",9.75566394003485,1.36484584941211
"5",9.75418315442005,1.36491291039971
"6",9.72554987961459,1.36627016210872
"7",9.72330076376131,1.36638206717381
"8",9.69801030632257,1.36762741381774
"9",9.69093758748777,1.36799253056294
"10",9.67141797982536,1.36898466552675
"11",9.65857441121423,1.36966723666453
"12",9.64567184754594,1.37034191723576
"13",9.62621123494069,1.37140457849946
"14",9.62074897485564,1.37169916894478
"15",9.59660920630706,1.37305642065379
"16",9.59384805866715,1.37321808146402
"17",9.57334439452889,1.3744136723628
"18",9.56148488239361,1.37514045807061
"19",9.55127077698387,1.37577092407182
"20",9.53046955874495,1.37712817578083
"21",9.52912170612007,1.37722053148115
"22",9.51105163597131,1.37848542748984
"23",9.49675852984653,1.37956037502407
"24",9.49312150567034,1.37984267919886
"25",9.47674031889988,1.38119993090787
"26",9.46439535357299,1.38231502057023
"27",9.46181985996856,1.38255718261688
"28",9.44843533550434,1.3839144343259
"29",9.43636957885101,1.38527168603491
"30",9.43203217729945,1.38580686007799
"31",9.42564873638318,1.38662893774393
"32",9.41615518466667,1.38798618945294
"33",9.4077434502333,1.38934344116195
"34",9.40033595815879,1.39070069287097
"35",9.39966900102591,1.39083740555567
"36",9.39391766570631,1.39205794457998
"37",9.38834403278044,1.39341519628899
"38",9.38353756960011,1.39477244799801
"39",9.37943187215659,1.39612969970702
"40",9.37596419433755,1.39748695141603
"41",9.3730753526989,1.39884420312505
"42",9.37070962071615,1.40020145483406
"43",9.36881460300591,1.40155870654307
"44",9.36734108429379,1.40291595825209
"45",9.36730582475236,1.40295899792243
"46",9.36622873822021,1.4042732099611
"47",9.36544786096296,1.40563046167011
"48",9.3649594984346,1.40698771337913
"49",9.36472641315058,1.40834496508814
"50",9.36471316130264,1.40970221679716
"51",9.36488577668009,1.41105946850617
"52",9.36521144955158,1.41241672021518
"53",9.36565820130556,1.4137739719242
"54",9.36619455526482,1.41513122363321
"55",9.36678920388644,1.41648847534222
"56",9.36730582475236,1.41761759915414
"57",9.3674069021318,1.41784572705124
"58",9.36799960153298,1.41920297876025
"59",9.36855348965337,1.42056023046926
"60",9.36903637827349,1.42191748217828
"61",9.3694148550361,1.42327473388729
"62",9.36965395117643,1.4246319855963
"63",9.36971683502537,1.42598923730532
"64",9.36956454853263,1.42734648901433
"65",9.36915580993722,1.42870374072335
"66",9.36844691264722,1.43006099243236
"67",9.36739175821272,1.43141824414137
"68",9.36730582475236,1.43150020754354
"69",9.36586768891083,1.43277549585039
"70",9.36386761579021,1.4341327475594
"71",9.36134196905895,1.43548999926841
"72",9.35823683593773,1.43684725097743
"73",9.35450016034211,1.43820450268644
"74",9.35008379577764,1.43956175439545
"75",9.34494603528728,1.44091900610447
"76",9.33905458939642,1.44227625781348
"77",9.33494264847882,1.44312121027636
"78",9.33223641784945,1.44363350952249
"79",9.32434879480352,1.44499076123151
"80",9.31565575943321,1.44634801294052
"81",9.30619615280769,1.44770526464953
