"","ConfRegionM","ConfRegionLambda"
"1",1.36187846842377,73.4079390543176
"2",1.34528324192374,44.7425646039992
"3",1.32868801542371,45.2223946184411
"4",1.31209278892369,50.8265926770357
"5",1.29549756242366,54.065593873447
"6",1.27890233592363,53.4920942362898
"7",1.2623071094236,51.6924948548416
"8",1.24571188292357,52.5221480192604
"9",1.22911665642355,57.3442369880109
"10",1.21252142992352,63.242616751062
"11",1.19592620342349,74.8656889229245
"12",1.17933097692346,88.8481188885122
"13",1.16273575042343,107.622757002836
"14",1.14839865737999,153.042135808036
"15",1.1461405239234,160.231525850037
"16",1.12954529742338,230.349357187999
"17",1.11700811685256,282.93476271193
"18",1.11295007092335,323.119369060201
"19",1.10429715238318,412.827389615825
"20",1.10042985039161,542.72001651972
"21",1.10084671942977,672.612643423614
"22",1.11295007092335,748.300704781014
"23",1.12954529742338,793.60598834223
"24",1.1332664341911,802.505270327509
"25",1.1461405239234,863.347496596243
"26",1.16273575042343,893.813833715775
"27",1.17933097692346,915.035896006687
"28",1.18701408165457,932.397897231404
"29",1.18396768891723,1062.2905241353
"30",1.19272292806543,1192.18315103919
"31",1.19592620342349,1234.37462341055
"32",1.21252142992352,1258.83700318511
"33",1.22855492752242,1192.18315103919
"34",1.22911665642355,1191.68737544564
"35",1.24571188292357,1156.72864252274
"36",1.2623071094236,1142.88690647597
"37",1.27890233592363,1117.75665014931
"38",1.29549756242366,1077.16079216798
"39",1.30138476611611,1062.2905241353
"40",1.31209278892369,1031.16416275401
"41",1.32790149811451,932.397897231404
"42",1.32868801542371,927.562974898877
"43",1.34528324192374,865.144442413511
"44",1.35231007631575,802.505270327509
"45",1.36029782170926,672.612643423614
"46",1.36073676025445,542.72001651972
"47",1.36187846842377,518.814266311461
"48",1.36187846842377,73.4079390543176
