    0.323683865705866824E+00    0.287387759642711593E+01    0.157513787492710513E+02    0.125581486548169341E+01    0.124942279345897611E+01    0.932646656138760022E-01    0.608012105501159095E+01    0.604133068654134076E-01    0.959906795118669942E+00    0.315796328748352839E+00    0.920804811092410191E+00   -0.879447354946433779E-01   -0.371901880972917643E+05
    0.312315470725035238E+00    0.287918378334428215E+01    0.157698614989863337E+02    0.119570983020527422E+01    0.128772804826200038E+01    0.859753391795012312E-01    0.607479824647530631E+01    0.316437660339970450E-01    0.100727688632432755E+01    0.618379687810902356E+00    0.125516795288785743E+01   -0.885249598990125453E-01   -0.371897613543499901E+05
    0.308007623499203242E+00    0.290056050885820405E+01    0.159248694388712799E+02    0.125403026545331975E+01    0.123332200354214194E+01    0.964120923434460958E-01    0.606085046626114821E+01    0.139975744853522904E+00    0.111925239234420726E+01    0.691905379982918761E-01    0.921749077913701864E+00   -0.866505734166158059E-01   -0.371864247444021166E+05
    0.315212018066629185E+00    0.288963600322398140E+01    0.157342572300203827E+02    0.123913163717788066E+01    0.127033064665192863E+01    0.915412234584588869E-01    0.607390592656200745E+01    0.456540422370525500E-01    0.103908774816383964E+01    0.156189293207518426E+00    0.995922055086684410E+00   -0.881529915189303848E-01   -0.371862871763897856E+05
    0.324486748161643690E+00    0.291870943551206397E+01    0.159701878547762064E+02    0.124910912259556595E+01    0.122989524896140368E+01    0.893846614732720229E-01    0.607247379169590218E+01    0.184747867832278367E+00    0.110933996235193355E+01    0.625096689227188640E+00    0.109487773802668609E+01   -0.870027316886718138E-01   -0.371860269886276583E+05
    0.328216522265070976E+00    0.288158573449711275E+01    0.159366097777808697E+02    0.116954811206951925E+01    0.131365331061031343E+01    0.966665120117192606E-01    0.606632751487037059E+01    0.965595781826412113E-02    0.918213829818346428E+00    0.181827501759058534E-01    0.959073572691551246E+00   -0.861493914145158024E-01   -0.371859211658662462E+05
    0.309666324717989494E+00    0.287407767542584835E+01    0.159725663352667695E+02    0.124487974884932795E+01    0.124750640696723547E+01    0.880662875627288844E-01    0.606448991523715630E+01    0.649611358782274835E-02    0.881987453417128253E+00    0.255123914488950387E+00    0.106838125143116658E+01   -0.854569699392646598E-01   -0.371858553587789356E+05
    0.319725123096979480E+00    0.288062703619377647E+01    0.159287506169206807E+02    0.122519650116966594E+01    0.125730457315604416E+01    0.938150052866610490E-01    0.606879677935239492E+01    0.113260436158543906E+00    0.937027104117503007E+00    0.721313354073015889E+00    0.987758058529326299E+00   -0.858333663408207270E-01   -0.371858255020348806E+05
    0.324623479975095552E+00    0.290295299330896306E+01    0.158937676671675945E+02    0.124143964630671144E+01    0.124426842946393501E+01    0.969806883107377088E-01    0.607545297610309198E+01    0.208910916094802279E+00    0.790365834146345647E+00    0.428275800552279651E+00    0.101261134544425180E+01   -0.867819039584873664E-01   -0.371855751423731272E+05
    0.329297356197769397E+00    0.286663207961541744E+01    0.158612286079901992E+02    0.121201974539410795E+01    0.127752418577616811E+01    0.982716772285605333E-01    0.607684050190545122E+01    0.605691688807867418E-01    0.808374092700522406E+00    0.430006716010411572E+00    0.887233979919640814E+00   -0.859815214801332439E-01   -0.371854320822906957E+05
